➜  Bachelor Arbeit LaTex git:(main) ✗ python Code/main.py
####################################################################################################
Training: 1WL+NN: sum
Cross-Validation Split 1/10:
        Epoch: 250,      Train Loss: -0.03182,   Train Acc: 54.1%,       Val Loss: 0.00478,      Val Acc: 33.3%
        Epoch: 300,      Train Loss: -0.04999,   Train Acc: 56.2%,       Val Loss: 0.00405,      Val Acc: 35.3%
        Epoch: 350,      Train Loss: -0.04976,   Train Acc: 55.9%,       Val Loss: 0.00386,      Val Acc: 35.3%
        Epoch: 400,      Train Loss: -0.04574,   Train Acc: 55.9%,       Val Loss: 0.00441,      Val Acc: 34.7%
        Epoch: 450,      Train Loss: -0.04744,   Train Acc: 56.2%,       Val Loss: 0.00499,      Val Acc: 32.7%
        Epoch: 500,      Train Loss: -0.05342,   Train Acc: 56.4%,       Val Loss: 0.00466,      Val Acc: 33.3%
Cross-Validation Split 6/10:
        Epoch: 50,       Train Loss: -0.03099,   Train Acc: 54.2%,       Val Loss: 0.00176,      Val Acc: 44.7%
        Epoch: 100,      Train Loss: -0.03589,   Train Acc: 54.1%,       Val Loss: 0.00098,      Val Acc: 48.7%
        Epoch: 150,      Train Loss: -0.03352,   Train Acc: 54.0%,       Val Loss: 0.00224,      Val Acc: 44.7%
        Epoch: 200,      Train Loss: -0.04454,   Train Acc: 55.4%,       Val Loss: 0.00162,      Val Acc: 46.7%
        Epoch: 250,      Train Loss: -0.04688,   Train Acc: 55.6%,       Val Loss: 0.00154,      Val Acc: 47.3%
        Epoch: 300,      Train Loss: -0.04289,   Train Acc: 55.0%,       Val Loss: 0.00133,      Val Acc: 48.0%
        Epoch: 350,      Train Loss: -0.04924,   Train Acc: 55.9%,       Val Loss: 0.0016,       Val Acc: 46.7%
        Epoch: 400,      Train Loss: -0.04647,   Train Acc: 55.5%,       Val Loss: 0.00158,      Val Acc: 48.0%
        Epoch: 450,      Train Loss: -0.04312,   Train Acc: 55.3%,       Val Loss: 0.00192,      Val Acc: 46.0%
        Epoch: 500,      Train Loss: -0.04881,   Train Acc: 55.7%,       Val Loss: 0.00139,      Val Acc: 47.3%
Cross-Validation Split 7/10:
        Epoch: 50,       Train Loss: -0.02687,   Train Acc: 54.1%,       Val Loss: 0.00243,      Val Acc: 42.7%
        Epoch: 100,      Train Loss: -0.02809,   Train Acc: 53.5%,       Val Loss: 0.00226,      Val Acc: 42.7%
        Epoch: 150,      Train Loss: -0.03563,   Train Acc: 54.7%,       Val Loss: 0.00239,      Val Acc: 42.0%
        Epoch: 200,      Train Loss: -0.03975,   Train Acc: 55.0%,       Val Loss: 0.00303,      Val Acc: 40.0%
        Epoch: 250,      Train Loss: -0.04111,   Train Acc: 55.0%,       Val Loss: 0.00267,      Val Acc: 41.3%
        Epoch: 300,      Train Loss: -0.04452,   Train Acc: 55.6%,       Val Loss: 0.00234,      Val Acc: 42.7%
        Epoch: 350,      Train Loss: -0.04518,   Train Acc: 55.7%,       Val Loss: 0.00384,      Val Acc: 36.0%
        Epoch: 400,      Train Loss: -0.04575,   Train Acc: 55.9%,       Val Loss: 0.0035,       Val Acc: 38.0%
        Epoch: 450,      Train Loss: -0.04068,   Train Acc: 55.0%,       Val Loss: 0.00349,      Val Acc: 38.7%
        Epoch: 500,      Train Loss: -0.04997,   Train Acc: 56.1%,       Val Loss: 0.00328,      Val Acc: 39.3%
Cross-Validation Split 8/10:
        Epoch: 50,       Train Loss: -0.02813,   Train Acc: 53.8%,       Val Loss: 0.00311,      Val Acc: 42.0%
        Epoch: 100,      Train Loss: -0.04406,   Train Acc: 55.0%,       Val Loss: 0.00311,      Val Acc: 42.7%
        Epoch: 150,      Train Loss: -0.04343,   Train Acc: 54.6%,       Val Loss: 0.0032,       Val Acc: 42.0%
        Epoch: 200,      Train Loss: -0.04877,   Train Acc: 55.6%,       Val Loss: 0.00307,      Val Acc: 43.3%
        Epoch: 250,      Train Loss: -0.04451,   Train Acc: 55.0%,       Val Loss: 0.00367,      Val Acc: 41.3%
        Epoch: 300,      Train Loss: -0.04791,   Train Acc: 55.3%,       Val Loss: 0.00391,      Val Acc: 41.3%
        Epoch: 350,      Train Loss: -0.04907,   Train Acc: 55.6%,       Val Loss: 0.00267,      Val Acc: 44.7%
        Epoch: 400,      Train Loss: -0.04514,   Train Acc: 55.1%,       Val Loss: 0.00282,      Val Acc: 44.0%
        Epoch: 450,      Train Loss: -0.05555,   Train Acc: 56.4%,       Val Loss: 0.00347,      Val Acc: 42.0%
        Epoch: 500,      Train Loss: -0.05592,   Train Acc: 56.1%,       Val Loss: 0.00288,      Val Acc: 44.7%
Cross-Validation Split 9/10:
        Epoch: 50,       Train Loss: -0.01676,   Train Acc: 52.7%,       Val Loss: 0.00507,      Val Acc: 33.3%
        Epoch: 100,      Train Loss: -0.02818,   Train Acc: 53.8%,       Val Loss: 0.00379,      Val Acc: 38.7%
        Epoch: 150,      Train Loss: -0.03834,   Train Acc: 54.8%,       Val Loss: 0.00465,      Val Acc: 34.0%
        Epoch: 200,      Train Loss: -0.03163,   Train Acc: 53.9%,       Val Loss: 0.00333,      Val Acc: 39.3%
        Epoch: 250,      Train Loss: -0.03924,   Train Acc: 54.5%,       Val Loss: 0.00258,      Val Acc: 43.3%
        Epoch: 300,      Train Loss: -0.03979,   Train Acc: 54.5%,       Val Loss: 0.00276,      Val Acc: 42.7%
        Epoch: 350,      Train Loss: -0.0388,    Train Acc: 54.5%,       Val Loss: 0.00242,      Val Acc: 42.0%
        Epoch: 400,      Train Loss: -0.0365,    Train Acc: 54.1%,       Val Loss: 0.00328,      Val Acc: 40.0%
        Epoch: 450,      Train Loss: -0.04482,   Train Acc: 55.4%,       Val Loss: 0.00286,      Val Acc: 42.0%
        Epoch: 500,      Train Loss: -0.04398,   Train Acc: 55.2%,       Val Loss: 0.00235,      Val Acc: 44.7%
Cross-Validation Split 10/10:
        Epoch: 50,       Train Loss: -0.03364,   Train Acc: 54.6%,       Val Loss: 0.00244,      Val Acc: 44.0%
        Epoch: 100,      Train Loss: -0.03519,   Train Acc: 54.4%,       Val Loss: 0.00207,      Val Acc: 44.7%
        Epoch: 150,      Train Loss: -0.01732,   Train Acc: 52.7%,       Val Loss: 0.00202,      Val Acc: 44.7%
        Epoch: 200,      Train Loss: -0.04105,   Train Acc: 55.9%,       Val Loss: 0.00256,      Val Acc: 44.0%
        Epoch: 250,      Train Loss: -0.04415,   Train Acc: 55.6%,       Val Loss: 0.00197,      Val Acc: 45.3%
        Epoch: 300,      Train Loss: -0.03664,   Train Acc: 54.4%,       Val Loss: 0.00201,      Val Acc: 46.0%
        Epoch: 350,      Train Loss: -0.02867,   Train Acc: 53.6%,       Val Loss: 0.00203,      Val Acc: 45.3%
        Epoch: 400,      Train Loss: -0.04217,   Train Acc: 55.4%,       Val Loss: 0.00266,      Val Acc: 44.0%
        Epoch: 450,      Train Loss: -0.04757,   Train Acc: 55.6%,       Val Loss: 0.00262,      Val Acc: 44.0%
        Epoch: 500,      Train Loss: -0.04306,   Train Acc: 54.9%,       Val Loss: 0.00213,      Val Acc: 44.7%
Avg runtime per epoch: 0.4410510362148285
