        Epoch: 225,      Train Loss: -1.09806,   Train Acc: 97.8%,       Val Loss: -0.00722,     Val Acc: 48.6%
        Epoch: 250,      Train Loss: -1.09258,   Train Acc: 97.6%,       Val Loss: -0.00654,     Val Acc: 47.7%
        Epoch: 275,      Train Loss: -1.11023,   Train Acc: 98.3%,       Val Loss: -0.00644,     Val Acc: 47.7%
        Epoch: 300,      Train Loss: -1.09658,   Train Acc: 97.7%,       Val Loss: -0.00806,     Val Acc: 51.4%
        Epoch: 325,      Train Loss: -1.12921,   Train Acc: 99.0%,       Val Loss: -0.00739,     Val Acc: 48.6%
        Epoch: 350,      Train Loss: -1.11665,   Train Acc: 98.5%,       Val Loss: -0.00613,     Val Acc: 45.9%
        Epoch: 375,      Train Loss: -1.10941,   Train Acc: 98.0%,       Val Loss: -0.00709,     Val Acc: 48.6%
        Epoch: 400,      Train Loss: -1.12444,   Train Acc: 98.8%,       Val Loss: -0.00661,     Val Acc: 47.7%
        Epoch: 425,      Train Loss: -1.11788,   Train Acc: 98.5%,       Val Loss: -0.00704,     Val Acc: 48.6%
        Epoch: 450,      Train Loss: -1.12491,   Train Acc: 98.8%,       Val Loss: -0.00684,     Val Acc: 47.7%
        Epoch: 475,      Train Loss: -1.1295,    Train Acc: 98.9%,       Val Loss: -0.00746,     Val Acc: 49.5%
        Epoch: 500,      Train Loss: -1.12367,   Train Acc: 98.8%,       Val Loss: -0.00678,     Val Acc: 46.8%
Cross-Validation Split 10/10:
        Epoch: 25,       Train Loss: -1.00513,   Train Acc: 94.3%,       Val Loss: -0.00938,     Val Acc: 52.3%
        Epoch: 50,       Train Loss: -1.06322,   Train Acc: 96.4%,       Val Loss: -0.00756,     Val Acc: 48.6%
        Epoch: 75,       Train Loss: -1.09087,   Train Acc: 97.5%,       Val Loss: -0.00867,     Val Acc: 51.4%
        Epoch: 100,      Train Loss: -1.10543,   Train Acc: 98.1%,       Val Loss: -0.00861,     Val Acc: 50.5%
        Epoch: 125,      Train Loss: -1.10868,   Train Acc: 98.4%,       Val Loss: -0.00879,     Val Acc: 49.5%
        Epoch: 150,      Train Loss: -1.09359,   Train Acc: 97.7%,       Val Loss: -0.00666,     Val Acc: 46.8%
        Epoch: 175,      Train Loss: -1.11645,   Train Acc: 98.5%,       Val Loss: -0.00725,     Val Acc: 47.7%
        Epoch: 200,      Train Loss: -1.097,     Train Acc: 97.9%,       Val Loss: -0.00493,     Val Acc: 44.1%
        Epoch: 225,      Train Loss: -1.10153,   Train Acc: 98.1%,       Val Loss: -0.00687,     Val Acc: 46.8%
        Epoch: 250,      Train Loss: -1.11376,   Train Acc: 98.2%,       Val Loss: -0.00555,     Val Acc: 45.0%
        Epoch: 275,      Train Loss: -1.12703,   Train Acc: 98.8%,       Val Loss: -0.00454,     Val Acc: 42.3%
        Epoch: 300,      Train Loss: -1.12536,   Train Acc: 98.8%,       Val Loss: -0.00489,     Val Acc: 42.3%
        Epoch: 325,      Train Loss: -1.11612,   Train Acc: 98.5%,       Val Loss: -0.00535,     Val Acc: 44.1%
        Epoch: 350,      Train Loss: -1.11512,   Train Acc: 98.4%,       Val Loss: -0.00496,     Val Acc: 44.1%
        Epoch: 375,      Train Loss: -1.11179,   Train Acc: 98.4%,       Val Loss: -0.0051,      Val Acc: 44.1%
        Epoch: 400,      Train Loss: -1.12554,   Train Acc: 98.8%,       Val Loss: -0.00494,     Val Acc: 44.1%
        Epoch: 425,      Train Loss: -1.13511,   Train Acc: 99.1%,       Val Loss: -0.00401,     Val Acc: 41.4%
        Epoch: 450,      Train Loss: -1.12171,   Train Acc: 98.7%,       Val Loss: -0.00447,     Val Acc: 43.2%
        Epoch: 475,      Train Loss: -1.12063,   Train Acc: 98.7%,       Val Loss: -0.00418,     Val Acc: 40.5%
        Epoch: 500,      Train Loss: -1.12602,   Train Acc: 98.8%,       Val Loss: -0.00421,     Val Acc: 42.3%
Avg runtime per epoch: 2.666594848251343
####################################################################################################
Training: 1WL+NN: max
Cross-Validation Split 1/10:
        Epoch: 25,       Train Loss: -1.03362,   Train Acc: 95.5%,       Val Loss: -0.01762,     Val Acc: 67.9%
        Epoch: 50,       Train Loss: -1.05525,   Train Acc: 96.3%,       Val Loss: -0.01693,     Val Acc: 66.1%
        Epoch: 75,       Train Loss: -1.08729,   Train Acc: 97.5%,       Val Loss: -0.01749,     Val Acc: 69.6%
        Epoch: 100,      Train Loss: -1.07317,   Train Acc: 97.0%,       Val Loss: -0.01684,     Val Acc: 67.0%
        Epoch: 125,      Train Loss: -1.1069,    Train Acc: 98.2%,       Val Loss: -0.0162,      Val Acc: 67.0%
        Epoch: 150,      Train Loss: -1.1212,    Train Acc: 98.7%,       Val Loss: -0.01565,     Val Acc: 65.2%
        Epoch: 175,      Train Loss: -1.09922,   Train Acc: 97.9%,       Val Loss: -0.01704,     Val Acc: 67.9%
        Epoch: 200,      Train Loss: -1.10391,   Train Acc: 98.1%,       Val Loss: -0.01556,     Val Acc: 65.2%
        Epoch: 225,      Train Loss: -1.1183,    Train Acc: 98.6%,       Val Loss: -0.01593,     Val Acc: 67.0%
        Epoch: 250,      Train Loss: -1.13083,   Train Acc: 99.0%,       Val Loss: -0.01638,     Val Acc: 67.0%
        Epoch: 275,      Train Loss: -1.05458,   Train Acc: 96.0%,       Val Loss: -0.01586,     Val Acc: 64.3%
        Epoch: 300,      Train Loss: -1.12758,   Train Acc: 98.9%,       Val Loss: -0.01699,     Val Acc: 68.8%
        Epoch: 325,      Train Loss: -1.13021,   Train Acc: 99.0%,       Val Loss: -0.01348,     Val Acc: 59.8%
        Epoch: 350,      Train Loss: -1.10833,   Train Acc: 98.2%,       Val Loss: -0.01686,     Val Acc: 67.9%
        Epoch: 375,      Train Loss: -1.11732,   Train Acc: 98.6%,       Val Loss: -0.01418,     Val Acc: 62.5%
        Epoch: 400,      Train Loss: -1.13107,   Train Acc: 99.0%,       Val Loss: -0.01528,     Val Acc: 64.3%
        Epoch: 425,      Train Loss: -1.13106,   Train Acc: 99.0%,       Val Loss: -0.01557,     Val Acc: 65.2%
        Epoch: 450,      Train Loss: -1.13084,   Train Acc: 99.0%,       Val Loss: -0.01505,     Val Acc: 65.2%
        Epoch: 475,      Train Loss: -1.09801,   Train Acc: 97.8%,       Val Loss: -0.01524,     Val Acc: 66.1%
        Epoch: 500,      Train Loss: -1.07488,   Train Acc: 97.1%,       Val Loss: -0.01502,     Val Acc: 65.2%
Cross-Validation Split 2/10:
        Epoch: 25,       Train Loss: -1.00157,   Train Acc: 94.4%,       Val Loss: -0.01692,     Val Acc: 66.1%
        Epoch: 50,       Train Loss: -1.01226,   Train Acc: 94.6%,       Val Loss: -0.01664,     Val Acc: 65.2%
        Epoch: 75,       Train Loss: -1.06218,   Train Acc: 96.6%,       Val Loss: -0.01369,     Val Acc: 57.1%
        Epoch: 100,      Train Loss: -1.07724,   Train Acc: 97.1%,       Val Loss: -0.01626,     Val Acc: 65.2%
        Epoch: 125,      Train Loss: -1.08158,   Train Acc: 97.3%,       Val Loss: -0.017,       Val Acc: 67.9%
        Epoch: 150,      Train Loss: -1.09781,   Train Acc: 97.9%,       Val Loss: -0.01496,     Val Acc: 61.6%
        Epoch: 175,      Train Loss: -1.10162,   Train Acc: 98.0%,       Val Loss: -0.01567,     Val Acc: 64.3%
        Epoch: 200,      Train Loss: -1.10173,   Train Acc: 98.0%,       Val Loss: -0.01547,     Val Acc: 63.4%
        Epoch: 225,      Train Loss: -1.1024,    Train Acc: 98.0%,       Val Loss: -0.01548,     Val Acc: 63.4%
        Epoch: 250,      Train Loss: -1.06786,   Train Acc: 96.7%,       Val Loss: -0.01491,     Val Acc: 61.6%
        Epoch: 275,      Train Loss: -1.09895,   Train Acc: 97.9%,       Val Loss: -0.01473,     Val Acc: 61.6%
        Epoch: 300,      Train Loss: -1.10428,   Train Acc: 98.1%,       Val Loss: -0.01441,     Val Acc: 60.7%
        Epoch: 325,      Train Loss: -1.10829,   Train Acc: 98.2%,       Val Loss: -0.0151,      Val Acc: 62.5%
        Epoch: 350,      Train Loss: -1.10206,   Train Acc: 98.0%,       Val Loss: -0.0145,      Val Acc: 60.7%
        Epoch: 375,      Train Loss: -1.11336,   Train Acc: 98.4%,       Val Loss: -0.01507,     Val Acc: 62.5%
        Epoch: 400,      Train Loss: -1.11212,   Train Acc: 98.4%,       Val Loss: -0.01481,     Val Acc: 61.6%
        Epoch: 425,      Train Loss: -1.10223,   Train Acc: 98.1%,       Val Loss: -0.01432,     Val Acc: 60.7%
        Epoch: 450,      Train Loss: -1.11707,   Train Acc: 98.5%,       Val Loss: -0.01372,     Val Acc: 59.8%
        Epoch: 475,      Train Loss: -1.12677,   Train Acc: 98.9%,       Val Loss: -0.01436,     Val Acc: 60.7%
        Epoch: 500,      Train Loss: -1.12155,   Train Acc: 98.7%,       Val Loss: -0.01523,     Val Acc: 62.5%
Cross-Validation Split 3/10:
        Epoch: 25,       Train Loss: -0.96195,   Train Acc: 92.5%,       Val Loss: -0.01858,     Val Acc: 70.5%
        Epoch: 50,       Train Loss: -1.01969,   Train Acc: 95.1%,       Val Loss: -0.01951,     Val Acc: 74.1%
        Epoch: 75,       Train Loss: -1.04989,   Train Acc: 96.2%,       Val Loss: -0.01902,     Val Acc: 71.4%
        Epoch: 100,      Train Loss: -1.03265,   Train Acc: 95.2%,       Val Loss: -0.01699,     Val Acc: 69.6%
        Epoch: 125,      Train Loss: -1.05342,   Train Acc: 96.3%,       Val Loss: -0.01919,     Val Acc: 71.4%
        Epoch: 150,      Train Loss: -1.0658,    Train Acc: 96.7%,       Val Loss: -0.01903,     Val Acc: 72.3%
        Epoch: 175,      Train Loss: -1.06949,   Train Acc: 96.9%,       Val Loss: -0.01897,     Val Acc: 71.4%
        Epoch: 200,      Train Loss: -1.06589,   Train Acc: 96.7%,       Val Loss: -0.01951,     Val Acc: 72.3%
        Epoch: 225,      Train Loss: -1.07038,   Train Acc: 96.9%,       Val Loss: -0.0151,      Val Acc: 65.2%
        Epoch: 250,      Train Loss: -1.07512,   Train Acc: 97.1%,       Val Loss: -0.01684,     Val Acc: 67.9%
        Epoch: 275,      Train Loss: -1.07562,   Train Acc: 97.0%,       Val Loss: -0.01647,     Val Acc: 68.8%
        Epoch: 300,      Train Loss: -1.07573,   Train Acc: 97.1%,       Val Loss: -0.0172,      Val Acc: 70.5%
        Epoch: 325,      Train Loss: -1.07803,   Train Acc: 97.1%,       Val Loss: -0.0172,      Val Acc: 69.6%
        Epoch: 350,      Train Loss: -1.0895,    Train Acc: 97.6%,       Val Loss: -0.01601,     Val Acc: 67.0%
        Epoch: 375,      Train Loss: -1.08984,   Train Acc: 97.6%,       Val Loss: -0.0154,      Val Acc: 66.1%
        Epoch: 400,      Train Loss: -1.09615,   Train Acc: 97.8%,       Val Loss: -0.01723,     Val Acc: 69.6%
        Epoch: 425,      Train Loss: -1.08899,   Train Acc: 97.5%,       Val Loss: -0.01614,     Val Acc: 67.0%
        Epoch: 450,      Train Loss: -1.08737,   Train Acc: 97.5%,       Val Loss: -0.016,       Val Acc: 67.9%
        Epoch: 475,      Train Loss: -1.11339,   Train Acc: 98.4%,       Val Loss: -0.01443,     Val Acc: 64.3%
        Epoch: 500,      Train Loss: -1.10904,   Train Acc: 98.3%,       Val Loss: -0.0141,      Val Acc: 64.3%
Cross-Validation Split 4/10:
